index,query_id,query,results,naive_comparisons,optimized_comparisons,comparison_saving,timing_repeats,naive_ms_median,optimized_ms_median,naive_order,optimized_order
raw,q01,oil,108,0,0,0,9,0.0014,0.0015,oil(108),oil(108)
raw,q02,election,208,0,0,0,9,0.0015,0.0014,election(208),election(208)
raw,q03,broadband,70,0,0,0,9,0.0014,0.0014,broadband(70),broadband(70)
raw,q04,chelsea,0,0,0,0,9,0.0014,0.0014,chelsea(0),chelsea(0)
raw,q05,oscar,0,0,0,0,9,0.0014,0.0014,oscar(0),oscar(0)
raw,q06,economy,190,0,0,0,9,0.0014,0.0014,economy(190),economy(190)
raw,q07,software,128,0,0,0,9,0.0015,0.0014,software(128),software(128)
raw,q08,album,68,0,0,0,9,0.0015,0.0014,album(68),album(68)
raw,q09,oil AND price,24,218,218,0,9,0.0444,0.0475,oil(108) price(135),oil(108) price(135)
raw,q10,mobile AND phone,83,164,164,0,9,0.0354,0.0381,mobile(122) phone(126),mobile(122) phone(126)
raw,q11,football OR rugby,144,140,140,0,9,0.0346,0.0347,football(87) rugby(62),football(87) rugby(62)
raw,q12,(oil OR gas) AND prices,56,311,311,0,9,0.0688,0.0745,oil(108) gas(33) prices(146),oil(108) gas(33) prices(146)
raw,q13,government AND economy,99,519,519,0,9,0.108,0.1106,government(436) economy(190),economy(190) government(436)
raw,q14,(microsoft OR apple) AND software,0,30,30,0,9,0.0238,0.0345,microsoft(0) apple(1) software(128),microsoft(0) apple(1) software(128)
raw,q15,shares AND profits,31,179,179,0,9,0.0759,0.0821,shares(129) profits(82),profits(82) shares(129)
raw,q16,election AND labour,4,192,192,0,9,0.0419,0.0453,election(208) labour(24),labour(24) election(208)
raw,q17,(chelsea OR arsenal) AND league,0,22,22,0,9,0.0124,0.018,chelsea(0) arsenal(1) league(45),chelsea(0) arsenal(1) league(45)
raw,q18,digital AND music,71,293,293,0,9,0.067,0.075,digital(138) music(227),digital(138) music(227)
raw,q19,internet AND security,20,250,250,0,9,0.0503,0.0532,internet(140) security(131),security(131) internet(140)
raw,q20,film AND awards,51,257,257,0,9,0.056,0.055,film(231) awards(93),awards(93) film(231)
raw,q21,bank AND NOT football,69,4081,153,3928,9,0.9943,0.0577,bank(71) football(87),bank(71) football(87)
raw,q22,music AND NOT film,188,4249,418,3831,9,0.9374,0.095,music(227) film(231),music(227) film(231)
raw,q23,minister AND NOT chelsea,211,2223,0,2223,9,0.5361,0.0191,minister(211) chelsea(0),minister(211) chelsea(0)
raw,q24,investment,125,0,0,0,9,0.0015,0.0014,investment(125),investment(125)
raw,q25,manager,147,0,0,0,9,0.0014,0.0014,manager(147),manager(147)
raw,q26,technology,226,0,0,0,9,0.0014,0.0014,technology(226),technology(226)
raw,q27,players,265,0,0,0,9,0.0015,0.0015,players(265),players(265)
raw,q28,announced,208,0,0,0,9,0.0015,0.0015,announced(208),announced(208)
raw,q29,computing,16,0,0,0,9,0.0016,0.0015,computing(16),computing(16)
raw,q30,winning,161,0,0,0,9,0.0015,0.0015,winning(161),winning(161)
raw,q31,market AND prices AND oil AND gas,1,617,490,127,9,0.1632,0.1227,market(343) prices(146) oil(108) gas(33),gas(33) oil(108) prices(146) market(343)
raw,q32,government AND minister AND election AND labour,0,865,385,480,9,0.1975,0.0851,government(436) minister(211) election(208) labour(24),labour(24) election(208) minister(211)
raw,q33,film AND music AND awards,10,532,476,56,9,0.1121,0.1162,film(231) music(227) awards(93),awards(93) music(227) film(231)
normalized,q01,oil,109,0,0,0,9,0.0016,0.0016,oil(109),oil(109)
normalized,q02,election,213,0,0,0,9,0.0016,0.0016,election(213),election(213)
normalized,q03,broadband,72,0,0,0,9,0.0016,0.0016,broadband(72),broadband(72)
normalized,q04,chelsea,68,0,0,0,9,0.0016,0.0016,chelsea(68),chelsea(68)
normalized,q05,oscar,56,0,0,0,9,0.0016,0.0016,oscar(56),oscar(56)
normalized,q06,economy,193,0,0,0,9,0.0016,0.0016,economy(193),economy(193)
normalized,q07,software,135,0,0,0,9,0.0015,0.0016,software(135),software(135)
normalized,q08,album,68,0,0,0,9,0.0016,0.0016,album(68),album(68)
normalized,q09,oil AND price,25,224,224,0,9,0.0458,0.0489,oil(109) price(141),oil(109) price(141)
normalized,q10,mobile AND phone,83,165,165,0,9,0.0358,0.0391,mobile(122) phone(127),mobile(122) phone(127)
normalized,q11,football OR rugby,171,165,165,0,9,0.0404,0.0406,football(109) rugby(74),football(109) rugby(74)
normalized,q12,(oil OR gas) AND prices,56,313,313,0,9,0.0698,0.076,oil(109) gas(35) prices(146),oil(109) gas(35) prices(146)
normalized,q13,government AND economy,104,528,528,0,9,0.1148,0.116,government(447) economy(193),economy(193) government(447)
normalized,q14,(microsoft OR apple) AND software,52,299,299,0,9,0.1378,0.1507,microsoft(73) apple(46) software(135),microsoft(73) apple(46) software(135)
normalized,q15,shares AND profits,37,189,189,0,9,0.0807,0.0872,shares(143) profits(84),profits(84) shares(143)
normalized,q16,election AND labour,142,295,295,0,9,0.0761,0.0771,election(213) labour(225),election(213) labour(225)
normalized,q17,(chelsea OR arsenal) AND league,43,251,251,0,9,0.0585,0.0642,chelsea(68) arsenal(54) league(109),league(109) chelsea(68) arsenal(54)
normalized,q18,digital AND music,81,316,316,0,9,0.1322,0.1389,digital(162) music(236),digital(162) music(236)
normalized,q19,internet AND security,27,273,273,0,9,0.1131,0.1194,internet(162) security(139),security(139) internet(162)
normalized,q20,film AND awards,74,275,275,0,9,0.0564,0.0595,film(239) awards(127),awards(127) film(239)
normalized,q21,bank AND NOT football,142,4258,250,4008,9,1.8685,0.1066,bank(144) football(109),bank(144) football(109)
normalized,q22,music AND NOT film,195,4243,433,3810,9,1.0123,0.1015,music(236) film(239),music(236) film(239)
normalized,q23,minister AND NOT chelsea,295,4126,358,3768,9,1.0356,0.0965,minister(298) chelsea(68),minister(298) chelsea(68)
normalized,q24,investment,130,0,0,0,9,0.0034,0.0034,investment(130),investment(130)
normalized,q25,manager,152,0,0,0,9,0.0033,0.0033,manager(152),manager(152)
normalized,q26,technology,233,0,0,0,9,0.0033,0.0034,technology(233),technology(233)
normalized,q27,players,271,0,0,0,9,0.0033,0.0035,players(271),players(271)
