index,kind,query_id,retrieved,relevant,true_positives,precision,recall,f1
raw,simple,q01,108,109,108,1.0,0.9908,0.9954
raw,simple,q02,208,218,208,1.0,0.9541,0.9765
raw,simple,q03,70,72,70,1.0,0.9722,0.9859
raw,simple,q04,0,69,0,0.0,0.0,0.0
raw,simple,q05,0,75,0,0.0,0.0,0.0
raw,simple,q06,190,195,190,1.0,0.9744,0.987
raw,simple,q07,128,135,128,1.0,0.9481,0.9734
raw,simple,q08,68,68,68,1.0,1.0,1.0
raw,boolean,q09,24,25,24,1.0,0.96,0.9796
raw,boolean,q10,83,83,83,1.0,1.0,1.0
raw,boolean,q11,144,180,144,1.0,0.8,0.8889
raw,boolean,q12,56,56,56,1.0,1.0,1.0
raw,boolean,q13,99,110,99,1.0,0.9,0.9474
raw,boolean,q14,0,54,0,0.0,0.0,0.0
raw,boolean,q15,31,37,31,1.0,0.8378,0.9118
raw,boolean,q16,4,147,4,1.0,0.0272,0.053
raw,boolean,q17,0,44,0,0.0,0.0,0.0
raw,boolean,q18,71,81,71,1.0,0.8765,0.9342
raw,boolean,q19,20,27,20,1.0,0.7407,0.8511
raw,boolean,q20,51,74,51,1.0,0.6892,0.816
raw,negation,q21,69,143,69,1.0,0.4825,0.6509
raw,negation,q22,188,195,187,0.9947,0.959,0.9765
raw,negation,q23,211,305,210,0.9953,0.6885,0.814
raw,morphological,q24,125,166,125,1.0,0.753,0.8591
raw,morphological,q25,147,350,147,1.0,0.42,0.5915
raw,morphological,q26,226,248,226,1.0,0.9113,0.9536
raw,morphological,q27,265,722,265,1.0,0.367,0.537
raw,morphological,q28,208,304,208,1.0,0.6842,0.8125
raw,morphological,q29,16,184,16,1.0,0.087,0.16
raw,morphological,q30,161,568,161,1.0,0.2835,0.4417
raw,boolean,q31,1,1,1,1.0,1.0,1.0
raw,boolean,q32,0,80,0,0.0,0.0,0.0
raw,boolean,q33,10,16,10,1.0,0.625,0.7692
normalized,simple,q01,109,109,109,1.0,1.0,1.0
normalized,simple,q02,213,218,213,1.0,0.9771,0.9884
normalized,simple,q03,72,72,72,1.0,1.0,1.0
normalized,simple,q04,68,69,68,1.0,0.9855,0.9927
normalized,simple,q05,56,75,56,1.0,0.7467,0.855
normalized,simple,q06,193,195,193,1.0,0.9897,0.9948
normalized,simple,q07,135,135,135,1.0,1.0,1.0
normalized,simple,q08,68,68,68,1.0,1.0,1.0
normalized,boolean,q09,25,25,25,1.0,1.0,1.0
normalized,boolean,q10,83,83,83,1.0,1.0,1.0
normalized,boolean,q11,171,180,171,1.0,0.95,0.9744
normalized,boolean,q12,56,56,56,1.0,1.0,1.0
normalized,boolean,q13,104,110,104,1.0,0.9455,0.972
